[2023-12-18 12:54:51,102] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,166] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,230] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,294] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,358] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,422] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,486] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,550] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,614] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,678] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,742] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 13:21:37,093] - [INFO] - [websocket open]
[2023-12-18 13:21:37,980] - [ERROR] - [now status is WebsocketStatus.STATE_START receive error resp {"resp_type":"ERROR","trace_id":"5f1dff6e-1e41-4a20-8252-f83de1095b27","error_code":"SIS.0032","error_msg":"audio size out range"}]
[2023-12-18 13:21:38,098] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 13:21:38,162] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 13:21:38,226] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 13:21:38,290] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 13:21:38,354] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 13:21:38,418] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 13:21:38,482] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
